"avgsurvivalmonths","avgtumorsize","nstage","tstage"
74.4225460122699387,14.1748466257668712,"N1","T1"
72.2230088495575221,30.6345132743362832,"N1","T2"
71.6030534351145038,68.4045801526717557,"N1","T3"
69.2285714285714286,43.4571428571428571,"N1","T4"
71.3838862559241706,15.0142180094786730,"N2","T1"
69.1752336448598131,32.4696261682242991,"N2","T2"
68.9194630872483221,72.5973154362416107,"N2","T3"
69.6250000000000000,66.1875000000000000,"N2","T4"
66.1839080459770115,14.8505747126436782,"N3","T1"
62.8903508771929825,33.6754385964912281,"N3","T2"
63.0081967213114754,73.8114754098360656,"N3","T3"
58.7142857142857143,59.7142857142857143,"N3","T4"
